well,Oil_rate,ESP_runtime,ESP_frequency
MPA03,12.789,10.0,15.978213
MPA06,98.02,20.0,48.813606
MPA07,44.296,24.0,51.236916
MPA08,88.92,23.0,49.854088
MPA09,86.505,12.0,48.403252
MPA10,11.956,30.0,16.000011
MPA11,26.508,21.0,45.885643
MPA12,106.386,15.0,47.918777
MPA14,51.0,0.0,15.970659
MPA16,137.16,24.0,55.845234
MPA18,74.919,24.0,47.819641
MPA20,278.04,24.0,53.14275
MPA21,90.432,24.0,57.830898
MPA22,37.252,24.0,46.854073
MPA23,236.312,24.0,55.175999
MPA24,105.105,24.0,50.088001
MPA25,189.75,24.0,50.112003
MPA26,286.062,24.0,48.231384
MPA27,101.844,24.0,55.224003
MPA28,77.0,0.0,15.973869
MPA30,340.87,24.0,52.032001
